ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,TickerName,ticker
NSEFO,10917907,4,POWERGRID,POWERGRID25JAN25FEBFUT,FUTSTK,POWERGRID-FUTSTK,2100110917907,7.2,-7.2,72001,0.05,1800,1,,2025-01-30 14:30:00,POWERGRID 30JAN27FEB SPD,POWERGRID25JAN25FEBFUT
NSEFO,10462589,4,CIPLA,CIPLA25JAN25FEBFUT,FUTSTK,CIPLA-FUTSTK,2100110462589,35.55,-35.55,16251,0.05,325,1,,2025-01-30 14:30:00,CIPLA 30JAN27FEB SPD,CIPLA25JAN25FEBFUT
NSEFO,9014641,4,ADANIPORTS,ADANIPORTS25FEB25MARFUT,FUTSTK,ADANIPORTS-FUTSTK,2100109014641,27.65,-27.65,16001,0.05,400,1,,2025-02-27 14:30:00,ADANIPORTS 27FEB27MAR SPD,ADANIPORTS25FEB25MARFUT
NSEFO,10583071,4,MARUTI,MARUTI25JAN25FEBFUT,FUTSTK,MARUTI-FUTSTK,2100110583071,297.95,-297.95,2001,0.05,50,1,,2025-01-30 14:30:00,MARUTI 30JAN27FEB SPD,MARUTI25JAN25FEBFUT
NSEFO,10367104,4,BPCL,BPCL25JAN25FEBFUT,FUTSTK,BPCL-FUTSTK,2100110367104,6.45,-6.45,72001,0.05,1800,1,,2025-01-30 14:30:00,BPCL 30JAN27FEB SPD,BPCL25JAN25FEBFUT
NSEFO,10616923,4,SBIN,SBIN25FEB25MARFUT,FUTSTK,SBIN-FUTSTK,2100110616923,19.05,-19.05,30001,0.05,750,1,,2025-02-27 14:30:00,SBIN 27FEB27MAR SPD,SBIN25FEB25MARFUT
NSEFO,41303,1,SBIN,SBIN25FEBFUT,FUTSTK,SBIN-FUTSTK,2505800041303,837.3,685.05,30001,0.05,750,1,SBIN,2025-02-27 14:30:00,SBIN 27FEB2025,SBIN25FEBFUT
NSEFO,39199,1,MARUTI,MARUTI25FEBFUT,FUTSTK,MARUTI-FUTSTK,2505800039199,13169.9,10775.35,2001,0.05,50,1,MARUTI,2025-02-27 14:30:00,MARUTI 27FEB2025,MARUTI25FEBFUT
NSEFO,41091,1,ITC,ITC25JANFUT,FUTSTK,ITC-FUTSTK,2503000041091,477.15,390.4,48001,0.05,1600,1,ITC,2025-01-30 14:30:00,ITC 30JAN2025,ITC25JANFUT
NSEFO,38947,1,INDUSINDBK,INDUSINDBK25FEBFUT,FUTSTK,INDUSINDBK-FUTSTK,2505800038947,1049.65,858.8,20001,0.05,500,1,INDUSINDBK,2025-02-27 14:30:00,INDUSINDBK 27FEB2025,INDUSINDBK25FEBFUT
NSEFO,42498,1,SHREECEM,SHREECEM25JANFUT,FUTSTK,SHREECEM-FUTSTK,2503000042498,29428.15,24077.6,1001,0.05,25,1,SHREECEM,2025-01-30 14:30:00,SHREECEM 30JAN2025,SHREECEM25JANFUT
NSEFO,38964,1,INFY,INFY25FEBFUT,FUTSTK,INFY-FUTSTK,2505800038964,2079.75,1701.6,12001,0.05,400,1,INFY,2025-02-27 14:30:00,INFY 27FEB2025,INFY25FEBFUT
NSEFO,40991,1,HDFCBANK,HDFCBANK25JANFUT,FUTSTK,HDFCBANK-FUTSTK,2503000040991,1842.95,1507.9,16501,0.05,550,1,HDFCBANK,2025-01-30 14:30:00,HDFCBANK 30JAN2025,HDFCBANK25JANFUT
NSEFO,39122,1,JSWSTEEL,JSWSTEEL25FEBFUT,FUTSTK,JSWSTEEL-FUTSTK,2505800039122,1037.4,848.75,27001,0.05,675,1,JSWSTEEL,2025-02-27 14:30:00,JSWSTEEL 27FEB2025,JSWSTEEL25FEBFUT
NSEFO,41462,1,TCS,TCS25FEBFUT,FUTSTK,TCS-FUTSTK,2505800041462,4531.95,3708,5251,0.05,175,1,TCS,2025-02-27 14:30:00,TCS 27FEB2025,TCS25FEBFUT
NSEFO,40855,1,EICHERMOT,EICHERMOT25JANFUT,FUTSTK,EICHERMOT-FUTSTK,2503000040855,5697.05,4661.2,5251,0.05,175,1,EICHERMOT,2025-01-30 14:30:00,EICHERMOT 30JAN2025,EICHERMOT25JANFUT
NSEFO,40979,1,POWERGRID,POWERGRID25FEBFUT,FUTSTK,POWERGRID-FUTSTK,2505800040979,313.7,256.65,72001,0.05,1800,1,POWERGRID,2025-02-27 14:30:00,POWERGRID 27FEB2025,POWERGRID25FEBFUT
NSEFO,41088,1,IOC,IOC25JANFUT,FUTSTK,IOC-FUTSTK,2503000041088,136.13,111.38,195001,0.01,4875,1,IOC,2025-01-30 14:30:00,IOC 30JAN2025,IOC25JANFUT
NSEFO,39039,1,ITC,ITC25FEBFUT,FUTSTK,ITC-FUTSTK,2505800039039,473.9,387.75,48001,0.05,1600,1,ITC,2025-02-27 14:30:00,ITC 27FEB2025,ITC25FEBFUT
NSEFO,35312,1,BAJAJFINSV,BAJAJFINSV25FEBFUT,FUTSTK,BAJAJFINSV-FUTSTK,2505800035312,1975.45,1616.3,15001,0.05,500,1,BAJAJFINSV,2025-02-27 14:30:00,BAJAJFINSV 27FEB2025,BAJAJFINSV25FEBFUT
