ExchangeSegment,ExchangeInstrumentID,Name,Description,InstrumentID,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,OptionType,TickerName,ticker
NSEFO,42493,RELIANCE,RELIANCE25JANFUT,2503000042493,15001,0.05,500,1,RELIANCE,2025-01-30 14:30:00,1,1,
NSEFO,38739,HDFCLIFE,HDFCLIFE24NOVFUT,2433300038739,33001,0.05,1100,1,HDFCLIFE,2024-11-28 14:30:00,1,1,
NSEFO,42468,ONGC,ONGC25JANFUT,2503000042468,77001,0.05,1925,1,ONGC,2025-01-30 14:30:00,1,1,
NSEFO,38740,HEROMOTOCO,HEROMOTOCO24NOVFUT,2433300038740,4501,0.05,150,1,HEROMOTOCO,2024-11-28 14:30:00,1,1,
NSEFO,36287,BAJFINANCE,BAJFINANCE25JANFUT,2503000036287,3751,0.05,125,1,BAJFINANCE,2025-01-30 14:30:00,1,1,
NSEFO,42497,SBIN,SBIN25JANFUT,2503000042497,30001,0.05,750,1,SBIN,2025-01-30 14:30:00,1,1,
NSEFO,42541,TITAN,TITAN25JANFUT,2503000042541,7001,0.05,175,1,TITAN,2025-01-30 14:30:00,1,1,
NSEFO,37284,CIPLA,CIPLA24NOVFUT,2433300037284,16251,0.05,325,1,CIPLA,2024-11-28 14:30:00,1,1,
NSEFO,38937,SUNPHARMA,SUNPHARMA24NOVFUT,2433300038937,14001,0.05,350,1,SUNPHARMA,2024-11-28 14:30:00,1,1,
NSEFO,38796,KOTAKBANK,KOTAKBANK24NOVFUT,2433300038796,12001,0.05,400,1,KOTAKBANK,2024-11-28 14:30:00,1,1,
NSEFO,42498,SHREECEM,SHREECEM25JANFUT,2503000042498,1001,0.05,25,1,SHREECEM,2025-01-30 14:30:00,1,1,
NSEFO,41091,ITC,ITC25JANFUT,2503000041091,48001,0.05,1600,1,ITC,2025-01-30 14:30:00,1,1,
NSEFO,41045,INDUSINDBK,INDUSINDBK25JANFUT,2503000041045,15001,0.05,500,1,INDUSINDBK,2025-01-30 14:30:00,1,1,
NSEFO,36668,BRITANNIA,BRITANNIA24NOVFUT,2433300036668,4001,0.05,100,1,BRITANNIA,2024-11-28 14:30:00,1,1,
NSEFO,41005,HINDALCO,HINDALCO25JANFUT,2503000041005,42001,0.05,1400,1,HINDALCO,2025-01-30 14:30:00,1,1,
NSEFO,38955,TATASTEEL,TATASTEEL24NOVFUT,2433300038955,165001,0.01,5500,1,TATASTEEL,2024-11-28 14:30:00,1,1,
NSEFO,41012,HINDUNILVR,HINDUNILVR25JANFUT,2503000041012,9001,0.05,300,1,HINDUNILVR,2025-01-30 14:30:00,1,1,
